brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km
ford,Ford EcoSport,red,01 02 2019,2019,18990,92,125,Automatic,Petrol,6.2,165,39987
audi,Audi A5,blue,01 06 2016,2016,26500,169,230,Automatic,Petrol,6.6,153,74688
land rover,Land Rover Range Rover Evoque,grey,01 06 2023,2023,63900,147,200,Automatic,Petrol,9.3,211,1500
audi,Audi A1,silver,01 05 2018,2018,13991,66,90,Manual,Diesel,4.1,107,98250
audi,Audi Q5,blue,01 04 2021,2021,56940,195,265,Automatic,Petrol,8.3,192,27350
kia,Kia Optima,black,01 07 2018,2018,21990,104,141,Manual,Diesel,4.4,113,47300
bmw,BMW 550,blue,01 05 2020,2020,59850,390,530,Automatic,Petrol,9.9,224,67136
bmw,BMW 114,white,01 07 2013,2013,8400,70,95,Manual,Diesel,4.3,114,179400
bmw,BMW 118,black,01 06 2005,2005,4500,85,116,Manual,Petrol,6.6,176,240000
hyundai,Hyundai i10,blue,01 09 2017,2017,12791,64,87,Automatic,Petrol,4.9,114,36000
ford,Ford S Max,black,01 06 2023,2023,41950,140,190,Automatic,Hybrid,6.4,145,10
audi,Audi A8,grey,01 07 2010,2010,17990,258,351,Automatic,Diesel,7.6,201,219374
jaguar,Jaguar F Pace,white,01 05 2019,2019,42880,221,300,Automatic,Diesel,6.3,166,38600
bmw,BMW M2,blue,01 10 2017,2017,41450,272,370,Automatic,Petrol,7.9,185,79000
audi,Audi Q3,black,01 02 2016,2016,23980,110,150,Manual,Petrol,5.8,134,66032
bmw,BMW 218,white,01 03 2016,2016,21900,110,150,Manual,Diesel,4.6,0,100250
ford,Ford Focus,white,01 04 2019,2019,17884,110,150,Automatic,Diesel,4.4,116,69000
fiat,Fiat 124 Spider,black,01 12 2018,2018,20990,103,140,Manual,Petrol,6.4,148,56000
bmw,BMW 225,silver,01 04 2019,2019,34195,100,136,Automatic,Hybrid,2,57,23000
lamborghini,Lamborghini Huracan,red,01 08 2018,2018,334900,471,640,Automatic,Petrol,12.3,285,13819
ford,Ford Kuga,white,01 03 2021,2021,47333,110,150,Manual,Petrol,5.5,125,68570
mazda,Mazda CX 7,silver,01 11 2011,2011,13490,127,173,Manual,Diesel,7.5,199,185000
alfa romeo,Alfa Romeo Stelvio,blue,01 08 2017,2017,26540,154,209,Automatic,Diesel,4.8,127,85500
jaguar,Jaguar F Pace,black,01 10 2017,2017,31880,177,241,Automatic,Diesel,5.8,153,108600
ford,Ford C Max,brown,01 02 2014,2014,8990,92,125,Manual,Petrol,5.2,123,81090
bmw,BMW 550,grey,01 03 2014,2014,30990,280,381,Automatic,Diesel,6.2,0,179200
bmw,BMW 430,grey,01 09 2017,2017,32980,185,252,Automatic,Petrol,6.7,156,58400
hyundai,Hyundai i40,silver,01 09 2015,2015,12500,99,135,Manual,Petrol,6.4,149,63914
ford,Ford Kuga,black,01 01 2011,2011,8990,103,140,Automatic,Diesel,6,159,167347
citroen,Citroen C5 Aircross,grey,01 09 2020,2020,27790,132,179,Automatic,Diesel,4.7,123,33000
bmw,BMW 525,grey,01 06 2010,2010,13500,150,204,Automatic,Diesel,6.1,160,178450
isuzu,Isuzu D Max,grey,01 05 2023,2023,44999,120,163,Automatic,Diesel,7.4,195,2000
alfa romeo,Alfa Romeo Giulietta,blue,01 08 2017,2017,21499,177,241,Automatic,Petrol,6.8,157,41992
bmw,BMW 520,blue,01 03 2013,2013,15500,135,184,Automatic,Diesel,4.7,0,199000
ford,Ford C Max,black,01 03 2016,2016,10730,92,125,Manual,Petrol,5.1,117,115817
audi,Audi A4,blue,01 06 2018,2018,27890,140,190,Automatic,Petrol,6.1,139,63850
audi,Audi A3,silver,01 03 2019,2019,22940,110,150,Manual,Petrol,5.5,124,30589
bmw,BMW X3,black,01 10 2015,2015,18700,135,184,Manual,Petrol,7.4,175,44500
dacia,Dacia Duster,blue,01 01 2022,2022,22770,110,150,Manual,Petrol,6.1,139,20290
ford,Ford EcoSport,white,01 11 2017,2017,12999,92,125,Manual,Petrol,5.4,125,46800
mazda,Mazda CX 5,grey,01 11 2018,2018,24790,121,165,Manual,Petrol,6,139,50789
bmw,BMW X6,white,01 01 2015,2015,39999,280,381,Automatic,Diesel,7.8,206,180787
audi,Audi A4,black,01 11 2009,2009,12990,155,211,Manual,Petrol,6.6,156,107068
ford,Ford Kuga,grey,01 05 2019,2019,19890,110,150,Manual,Diesel,7.5,195,56500
jeep,Jeep Compass,grey,01 06 2019,2019,22288,103,140,Manual,Petrol,6.8,155,50500
mazda,Mazda CX 3,white,01 12 2018,2018,17590,88,120,Automatic,Petrol,5.8,136,87800
fiat,Fiat 500C,grey,01 10 2017,2017,12799,51,69,Manual,Petrol,4.9,115,47500
jeep,Jeep Compass,red,01 06 2022,2022,37980,132,179,Automatic,Hybrid,0,0,20456
ford,Ford Edge,blue,01 01 2017,2017,15999,132,179,Manual,Diesel,5.8,154,189537
bmw,BMW X3,silver,01 10 2012,2012,12290,190,258,Automatic,Diesel,6,159,284858
dacia,Dacia Logan,blue,01 06 2019,2019,13950,70,95,Manual,Diesel,3.9,103,78300
fiat,Fiat Tipo,black,01 03 2023,2023,22899,95,129,Manual,Diesel,4.8,127,10
audi,Audi SQ5,black,01 08 2018,2018,178000,260,354,Automatic,Petrol,8.3,0,18500
audi,Audi RS Q8,green,01 04 2021,2021,139980,441,600,Automatic,Petrol,12.1,276,53617
kia,Kia XCeed,grey,01 10 2022,2022,31490,118,160,Automatic,Petrol,6.1,139,50
hyundai,Hyundai TUCSON,white,01 07 2019,2019,23500,100,136,Automatic,Diesel,4.9,129,87300
fiat,Fiat 500,green,01 07 2020,2020,12999,51,69,Manual,Petrol,4.1,0,22646
bmw,BMW 535,white,01 04 2011,2011,16666,220,299,Automatic,Diesel,6.7,175,204895
ford,Ford Fiesta,grey,01 02 2020,2020,17890,74,101,Automatic,Petrol,5.5,122,19106
kia,Kia Sorento,black,01 07 2015,2015,19990,147,200,Manual,Diesel,6.1,161,101000
ford,Ford Kuga,grey,01 03 2017,2017,22900,110,150,Manual,Petrol,6.3,145,39000
ford,Ford Focus,grey,01 03 2010,2010,4000,66,90,Manual,Diesel,4.5,0,240000
bmw,BMW X1,silver,01 04 2019,2019,28296,141,192,Automatic,Petrol,6,136,14554
audi,Audi A4 allroad,black,01 11 2017,2017,29480,200,272,Automatic,Diesel,5.5,146,110286
lamborghini,Lamborghini Aventador,black,01 11 2020,2020,749999,566,770,Automatic,Petrol,17.9,486,3348
hyundai,Hyundai TUCSON,silver,01 06 2019,2019,24970,130,177,Automatic,Petrol,7.6,180,68210
land rover,Land Rover Range Rover,white,01 02 2019,2019,94850,386,525,Automatic,Petrol,12.7,289,97500
kia,Kia Stonic,grey,01 10 2018,2018,14450,73,99,Manual,Petrol,5.5,125,45100
fiat,Fiat 500,grey,01 10 2020,2020,15950,51,69,Automatic,Petrol,5.2,120,13376
ford,Ford Mondeo,silver,01 07 2017,2017,7600,110,150,Manual,Diesel,4.4,112,291000
ford,Ford Kuga,grey,01 10 2017,2017,14499,88,120,Automatic,Diesel,4.8,124,148200
bmw,BMW 118,brown,01 06 2010,2010,5900,105,143,Manual,Diesel,4.5,119,278040
bmw,BMW M4,white,01 05 2021,2021,75990,375,510,Automatic,Petrol,10.2,234,73736
jeep,Jeep Renegade,black,01 06 2019,2019,24890,111,151,Automatic,Petrol,6.2,140,47500
hyundai,Hyundai i30,grey,01 06 2022,2022,21788,88,120,Manual,Petrol,5.9,121,1200
bmw,BMW 120,orange,01 11 2018,2018,18849,140,190,Automatic,Diesel,4.5,120,38428
kia,Kia Ceed   cee d,silver,01 07 2021,2021,23400,74,101,Manual,Petrol,5.2,118,3500
bmw,BMW Z4,white,01 04 2019,2019,38680,145,197,Automatic,Petrol,6,136,40700
hyundai,Hyundai i20,silver,01 03 2015,2015,9490,55,75,Manual,Petrol,4.8,114,39420
bmw,BMW 520,black,01 10 2013,2013,15799,135,184,Automatic,Diesel,4.9,0,172000
audi,Audi A6,grey,01 05 2018,2018,42890,240,326,Automatic,Diesel,5.8,154,39200
bmw,BMW X3 M,black,01 05 2019,2019,42490,240,326,Automatic,Diesel,6.4,169,65000
dacia,Dacia Duster,blue,01 01 2018,2018,13688,84,114,Manual,Petrol,6.4,145,25442
hyundai,Hyundai KONA,red,01 01 2023,2023,21690,88,120,Manual,Petrol,5.3,122,2999
bmw,BMW X4,grey,01 07 2021,2021,44480,210,286,Automatic,Diesel,5.6,146,92400
bmw,BMW 530,silver,01 11 2019,2019,41999,185,252,Automatic,Hybrid,1.8,41,14264
kia,Kia Ceed   cee d,silver,01 03 2012,2012,8950,66,90,Manual,Petrol,5.8,137,60000
bmw,BMW X3,black,01 10 2007,2007,8990,210,286,Automatic,Diesel,7.8,207,237990
ford,Ford Fiesta,red,01 01 2018,2018,13390,63,86,Manual,Diesel,3.5,91,34500
mazda,Mazda 6,white,01 12 2011,2011,12999,120,163,Manual,Diesel,5.4,143,210000
land rover,Land Rover Range Rover Sport,black,01 12 2019,2019,76750,225,306,Automatic,Diesel,9.4,248,73100
audi,Audi A4,black,01 09 2010,2010,8000,130,177,Manual,Petrol,6.6,0,251500
audi,Audi Q5,white,01 12 2010,2010,19950,125,170,Automatic,Diesel,6.8,179,143300
audi,Audi Q2,black,01 12 2018,2018,18900,110,150,Manual,Petrol,5.8,130,106706
citroen,Citroen Spacetourer,black,01 05 2019,2019,38989,132,179,Automatic,Diesel,5.5,145,24000
audi,Audi A5,blue,01 09 2017,2017,25799,185,252,Automatic,Petrol,6.3,144,87000
bmw,BMW 520,blue,01 10 2016,2016,22899,140,190,Automatic,Diesel,4.5,119,87100
kia,Kia XCeed,white,01 06 2023,2023,34990,100,136,Automatic,Diesel,4.9,129,15
audi,Audi A4,blue,01 07 2011,2011,7800,88,120,Manual,Diesel,5.1,135,230000
ford,Ford Mondeo,grey,01 02 2015,2015,12600,110,150,Automatic,Diesel,4.9,126,228900
audi,Audi A1,black,01 08 2013,2013,11900,63,86,Manual,Petrol,5.1,121,135000
hyundai,Hyundai i30,silver,01 08 2022,2022,19950,88,120,Manual,Hybrid,4.4,102,11845
kia,Kia Sportage,black,01 09 2019,2019,24490,130,177,Manual,Petrol,8.1,184,49990
bmw,BMW 320,black,01 09 2021,2021,32990,140,190,Automatic,Diesel,4.5,118,43100
mazda,Mazda CX 5,white,01 06 2015,2015,17150,129,175,Automatic,Diesel,5.5,144,115000
hyundai,Hyundai i10,silver,01 06 2022,2022,13600,49,67,Manual,Petrol,4.5,104,23000
audi,Audi TT RS,black,01 11 2017,2017,64890,294,400,Automatic,Petrol,8.2,192,23201
hyundai,Hyundai i30,grey,01 04 2018,2018,18450,103,140,Automatic,Petrol,5.5,125,81519
bmw,BMW 135,grey,01 10 2013,2013,24490,235,320,Automatic,Petrol,7.8,185,90000
audi,Audi Q7,black,01 11 2017,2017,43900,200,272,Automatic,Diesel,6.2,163,105000
bmw,BMW X1,white,01 03 2020,2020,28990,141,192,Automatic,Petrol,6,137,60895
ford,Ford Focus,blue,01 04 2018,2018,11900,92,125,Automatic,Petrol,5.5,125,118000
hyundai,Hyundai i10,red,01 04 2015,2015,6990,49,67,Manual,Petrol,4.7,108,74462
bmw,BMW 318,blue,01 03 2003,2003,3400,105,143,Manual,Petrol,7.6,185,224905
bentley,Bentley Continental,gold,01 05 2023,2023,317950,405,551,Automatic,Petrol,11.7,266,1923
maserati,Maserati Ghibli,grey,01 01 2020,2020,64444,257,349,Automatic,Petrol,11,255,43300
bentley,Bentley Mulsanne,green,01 11 2013,2013,89900,377,513,Automatic,Petrol,16.9,393,82000
audi,Audi TT,blue,01 05 2007,2007,8700,147,200,Automatic,Petrol,7.7,183,214000
bmw,BMW 420,white,01 03 2021,2021,42490,135,184,Automatic,Petrol,6.1,140,99004
dacia,Dacia Dokker,blue,01 05 2019,2019,18940,70,95,Manual,Diesel,4.4,116,50897
audi,Audi Q3,silver,01 04 2023,2023,39203,110,150,Automatic,Petrol,6.5,147,10
audi,Audi A3,silver,01 04 2022,2022,31930,110,150,Automatic,Petrol,5.7,130,9999
jeep,Jeep Grand Cherokee,blue,01 02 2018,2018,34200,184,250,Automatic,Diesel,7.5,199,85000
kia,Kia Rio,black,01 03 2014,2014,8999,80,109,Manual,Petrol,5.3,126,85500
bmw,BMW X1,white,01 10 2011,2011,7400,130,177,Manual,Diesel,5.8,153,236581
kia,Kia Ceed   cee d,blue,01 06 2023,2023,31765,150,204,Automatic,Petrol,6.5,147,4900
ford,Ford Fiesta,white,01 05 2018,2018,9990,52,71,Unknown,Petrol,4.7,107,79200
ford,Ford Focus,silver,01 11 2016,2016,14990,92,125,Manual,Petrol,4.8,110,60936
bmw,BMW X3,black,01 01 2008,2008,11900,160,218,Automatic,Diesel,7.7,0,204100
bmw,BMW 120,grey,01 07 2011,2011,18888,125,170,Automatic,Petrol,6.5,152,105200
fiat,Fiat 500,grey,01 09 2020,2020,13950,51,69,Manual,Hybrid,3.9,88,21509
bmw,BMW 320,white,01 05 2016,2016,24980,135,184,Automatic,Petrol,6.6,156,69900
hyundai,Hyundai i30,grey,01 11 2017,2017,23950,202,275,Manual,Petrol,7.1,163,74306
audi,Audi A6,grey,01 11 2011,2011,16640,150,204,Automatic,Diesel,5.1,133,166000
ford,Ford Tourneo Custom,silver,01 04 2019,2019,39980,125,170,Automatic,Diesel,7,183,91006
ford,Ford Fiesta,white,01 02 2019,2019,17500,147,200,Manual,Petrol,5.9,132,75000
fiat,Fiat Ducato,white,01 11 2021,2021,37690,88,120,Manual,Diesel,6.5,176,3500
fiat,Fiat 500,blue,01 03 2023,2023,18480,51,69,Manual,Petrol,6.9,93,10
audi,Audi Q5,green,01 03 2021,2021,60840,150,204,Automatic,Diesel,5.4,143,34750
ford,Ford Focus,grey,01 12 2019,2019,12699,88,120,Automatic,Diesel,4,104,120980
dacia,Dacia,brown,01 06 2023,2023,23840,81,110,Manual,Petrol,6.1,130,150
kia,Kia Picanto,white,01 07 2019,2019,11980,49,67,Manual,Petrol,4.6,106,29450
fiat,Fiat 500,white,01 01 2009,2009,6899,51,69,Manual,Petrol,5.1,119,116267
bmw,BMW 116,blue,01 12 2013,2013,5555,85,116,Manual,Diesel,4.3,114,143700
audi,Audi A3,grey,01 03 2018,2018,17990,85,116,Automatic,Petrol,4.7,109,92850
bmw,BMW 325,silver,01 10 2009,2009,8500,145,197,Manual,Diesel,5.9,0,307007
citroen,Citroen C5 Aircross,black,01 12 2020,2020,27880,133,181,Automatic,Hybrid,1.4,31,43545
bmw,BMW X5,black,01 12 2016,2016,27900,230,313,Automatic,Diesel,6,159,184500
audi,Audi A6 allroad,black,01 09 2015,2015,11990,160,218,Automatic,Diesel,5.7,149,105500
kia,Kia Ceed   cee d,black,01 05 2020,2020,14999,74,101,Manual,Petrol,5.2,118,48509
alfa romeo,Alfa Romeo Giulietta,red,01 05 2018,2018,17700,110,150,Manual,Diesel,4.2,110,65700
hyundai,Hyundai i10,white,01 11 2012,2012,3099,51,69,Manual,Petrol,4.7,111,158000
bmw,BMW M4,grey,01 05 2017,2017,61890,331,450,Automatic,Petrol,8.7,203,25700
ford,Ford Fiesta,grey,01 03 2017,2017,7990,44,60,Manual,Petrol,5.2,123,115000
audi,Audi A5,white,01 06 2015,2015,22000,140,190,Automatic,Diesel,4.5,119,112000
audi,Audi A6,grey,01 05 2009,2009,13000,213,290,Automatic,Petrol,9.5,0,200000
alfa romeo,Alfa Romeo Stelvio,black,01 04 2019,2019,32990,147,200,Automatic,Petrol,10.1,228,75250
bmw,BMW X1,silver,01 09 2018,2018,24252,110,150,Automatic,Diesel,4.8,127,74537
kia,Kia Picanto,white,01 07 2017,2017,14600,62,84,Automatic,Petrol,5.9,0,60000
bmw,BMW 525,grey,01 07 2011,2011,7000,150,204,Automatic,Diesel,6.1,0,197000
dacia,Dacia Sandero,grey,01 01 2023,2023,16990,67,91,Manual,Petrol,5.1,116,10
bmw,BMW 420,black,01 03 2015,2015,21400,135,184,Automatic,Diesel,4.8,0,110773
bmw,BMW 118,black,01 01 2008,2008,2500,95,129,Manual,Petrol,7.3,0,261372
bmw,BMW 116,silver,01 11 2017,2017,16990,85,116,Manual,Diesel,4,104,98907
alfa romeo,Alfa Romeo 147,white,01 05 2008,2008,3300,77,105,Manual,Petrol,8.2,196,197000
audi,Audi A5,red,01 03 2014,2014,21990,125,170,Manual,Petrol,6.2,147,35880
audi,Audi A6,grey,01 10 2018,2018,30490,210,286,Automatic,Diesel,4.9,118,160800
audi,Audi A5,blue,01 09 2010,2010,9150,118,160,Automatic,Petrol,7.2,169,129000
hyundai,Hyundai i10,blue,01 03 2021,2021,14490,49,67,Manual,Petrol,4.8,109,8105
audi,Audi A6,silver,01 03 2004,2004,13500,125,170,Manual,Petrol,11,264,162000
bmw,BMW X1,grey,01 02 2017,2017,21998,110,150,Automatic,Diesel,4.7,124,60694
bmw,BMW 320,blue,01 11 2019,2019,26896,140,190,Automatic,Diesel,4.4,115,124868
ford,Ford Fusion,silver,01 03 2005,2005,2200,59,80,Manual,Petrol,6.9,163,83000
bmw,BMW,black,01 06 2012,2012,15900,150,204,Automatic,Diesel,6.6,173,78466
fiat,Fiat Tipo,red,01 03 2019,2019,13999,88,120,Manual,Petrol,7.1,179,75159
audi,Audi A1,black,01 10 2020,2020,26380,110,150,Automatic,Petrol,5.1,116,27878
hyundai,Hyundai i10,silver,01 02 2023,2023,16490,49,67,Manual,Petrol,4.7,108,400
bmw,BMW X3,black,01 01 2008,2008,9980,210,286,Automatic,Diesel,7.8,208,287000
audi,Audi A1,white,01 10 2012,2012,10500,63,86,Manual,Petrol,5.1,121,93100
audi,Audi TT,white,01 05 2012,2012,22895,155,211,Manual,Petrol,6.7,159,54500
audi,Audi A2,silver,01 09 2001,2001,3950,55,75,Manual,Petrol,6,142,220000
audi,Audi A3,grey,01 07 2018,2018,24450,140,190,Automatic,Petrol,5.8,133,69766
audi,Audi A3,red,01 01 2020,2020,22999,85,116,Manual,Diesel,4.4,117,74000
ford,Ford Transit Custom,white,01 06 2023,2023,39850,96,131,Manual,Diesel,7.5,198,10
bmw,BMW 420,grey,01 04 2014,2014,18950,135,184,Automatic,Diesel,4,106,119927
audi,Audi A3,blue,01 05 2023,2023,39288,110,150,Manual,Diesel,4.3,112,10
bmw,BMW X3,brown,01 01 2020,2020,39940,140,190,Automatic,Diesel,5.4,141,43424
fiat,Fiat Doblo,white,01 10 2016,2016,12599,66,90,Manual,Diesel,5,133,89000
audi,Audi A3,black,01 08 2014,2014,17900,135,184,Automatic,Diesel,4.8,0,148000
kia,Kia Ceed   cee d,grey,01 03 2012,2012,8299,66,90,Manual,Petrol,5.8,137,80000
bmw,BMW 120,grey,01 03 2018,2018,19750,140,190,Automatic,Diesel,5.1,135,110900
hyundai,Hyundai i20,brown,01 05 2023,2023,21489,74,101,Manual,Petrol,5,127,120
ford,Ford Focus,silver,01 05 2017,2017,12599,88,120,Semi automatic,Diesel,3.8,99,130840
bmw,BMW X5 M,grey,01 04 2016,2016,29970,280,381,Automatic,Diesel,6.6,175,184333
bmw,BMW 530,white,01 05 2021,2021,52990,210,286,Automatic,Diesel,4.9,152,36336
bmw,BMW X1,silver,01 06 2019,2019,21499,110,150,Manual,Diesel,4.6,120,121000
hyundai,Hyundai i30,black,01 12 2019,2019,27188,202,275,Manual,Petrol,7.8,188,19650
audi,Audi A3,white,01 12 2015,2015,16670,132,179,Manual,Petrol,5.8,138,77831
ford,Ford Transit,white,01 11 2013,2013,16999,92,125,Manual,Diesel,8,212,100000
kia,Kia Soul,white,01 06 2015,2015,14490,97,132,Manual,Petrol,6.5,153,54000
citroen,Citroen Berlingo,white,01 12 2014,2014,6100,55,75,Manual,Diesel,5.2,138,169000
fiat,Fiat 500,grey,01 01 2020,2020,13440,51,69,Manual,Petrol,5.5,126,30998
fiat,Fiat 500,white,01 06 2015,2015,9900,51,69,Manual,Petrol,5.1,121,95672
bmw,BMW 116,black,01 08 2008,2008,7000,122,166,Manual,Petrol,6.1,143,147079
ford,Ford Mondeo,black,01 06 2021,2021,29990,110,150,Manual,Diesel,4.6,121,18719
ford,Ford Mustang,black,01 12 2017,2017,36500,310,421,Automatic,Petrol,12,281,31000
bmw,BMW 340,grey,01 06 2022,2022,61090,275,374,Automatic,Petrol,6.7,155,23243
mazda,Mazda 6,grey,01 05 2007,2007,2999,108,147,Manual,Petrol,8,0,215000
audi,Audi A8,black,01 10 2016,2016,34790,283,385,Automatic,Diesel,7.5,197,172700
bmw,BMW X1,white,01 01 2018,2018,22500,141,192,Unknown,Petrol,6.3,146,145000
bmw,BMW X4,silver,01 01 2020,2020,43260,185,252,Automatic,Petrol,7.3,167,89900
bmw,BMW 125,blue,01 05 2013,2013,16950,160,218,Automatic,Diesel,4.9,130,149899
fiat,Fiat 500C,blue,01 07 2022,2022,20990,52,71,Manual,Hybrid,4.8,109,99
land rover,Land Rover Discovery Sport,red,01 07 2019,2019,30350,110,150,Automatic,Diesel,6.4,169,87200
audi,Audi Q5,grey,01 03 2023,2023,63880,150,204,Automatic,Diesel,6.6,174,4500
audi,Audi A3,black,01 08 2019,2019,23900,110,150,Automatic,Petrol,5.2,117,59256
mazda,Mazda CX 5,black,01 06 2015,2015,12850,110,150,Manual,Diesel,4.6,122,156000
bmw,BMW 316,silver,01 11 2001,2001,1399,85,116,Manual,Petrol,6.9,167,163800
dacia,Dacia Jogger,black,01 06 2022,2022,23779,81,110,Manual,Petrol,5.6,138,50
ford,Ford Mondeo,black,01 01 2008,2008,6100,162,220,Manual,Petrol,9.3,0,184000
bmw,BMW 335,black,01 06 2013,2013,38890,225,306,Automatic,Petrol,9.6,205,58650
ford,Ford S Max,black,01 09 2013,2013,19970,147,200,Automatic,Diesel,6.4,188,103000
kia,Kia,blue,01 05 2023,2023,25950,118,160,Manual,Petrol,6,135,25
bmw,BMW 118,black,01 12 2015,2015,10950,110,150,Manual,Diesel,4.7,125,209010
hyundai,Hyundai,silver,01 08 2022,2022,17450,62,84,Manual,Petrol,5.7,129,5583
ford,Ford Ranger,orange,01 04 2021,2021,40980,156,212,Automatic,Diesel,7.8,207,30235
ford,Ford Mustang,red,01 04 2018,2018,38900,310,421,Automatic,Petrol,12,281,19100
kia,Kia Sportage,blue,01 07 2017,2017,14900,97,132,Manual,Petrol,6.7,156,128092
audi,Audi TT,blue,01 02 2017,2017,34411,169,230,Automatic,Petrol,6.9,158,31560
audi,Audi A5,white,01 02 2013,2013,20750,180,245,Automatic,Diesel,5.9,154,144939
kia,Kia XCeed,gold,01 03 2023,2023,31990,118,160,Automatic,Petrol,6.4,144,20
audi,Audi A6,black,01 03 2017,2017,18600,140,190,Manual,Diesel,4.4,0,177358
bmw,BMW X1,white,01 05 2012,2012,12790,105,143,Automatic,Diesel,6.2,164,195832
ford,Ford Fiesta,grey,01 03 2021,2021,18675,92,125,Manual,Petrol,4,92,15250
ford,Ford Focus C Max,silver,01 06 2005,2005,4500,74,101,Manual,Petrol,6.6,0,121290
audi,Audi RS3,red,01 10 2022,2022,62500,294,400,Automatic,Petrol,8.2,188,12000
bmw,BMW 530,black,01 03 2017,2017,36800,195,265,Automatic,Diesel,5.3,140,77400
audi,Audi A4,grey,01 06 2014,2014,16990,130,177,Manual,Diesel,4.8,0,99890
hyundai,Hyundai i30,grey,01 10 2015,2015,12490,99,135,Manual,Petrol,5.9,133,80500
hyundai,Hyundai H 1,white,01 06 2010,2010,9999,125,170,Manual,Diesel,8.5,225,166000
hyundai,Hyundai i30,black,01 06 2012,2012,6500,80,109,Manual,Petrol,6.1,0,81000
kia,Kia Ceed SW   cee d SW,silver,01 03 2022,2022,21190,74,101,Manual,Petrol,5.8,132,13356
bmw,BMW 550,silver,01 04 2011,2011,20500,300,408,Automatic,Petrol,0,0,203362
bmw,BMW 218,grey,01 04 2016,2016,16490,100,136,Manual,Petrol,5.3,119,81673
audi,Audi A3,yellow,01 04 2019,2019,21250,140,190,Automatic,Petrol,6.7,152,60900
dacia,Dacia Duster,blue,01 02 2022,2022,25785,110,150,Manual,Petrol,6.1,139,15
ford,Ford Transit Custom,blue,01 08 2015,2015,29500,74,101,Manual,Diesel,7.3,0,24886
audi,Audi A4,silver,01 04 2017,2017,14990,110,150,Automatic,Diesel,4.4,115,210910
audi,Audi A8,black,01 11 2013,2013,44900,190,258,Automatic,Diesel,5.9,155,44000
